City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Nantucket,US,2020-08-27 21:38:25,41.28,-70.1,66.2,88,90,5.82
141,Port Alfred,ZA,2020-08-27 21:38:26,-33.59,26.89,58.89,73,0,12.53
142,Sao Joao Da Barra,BR,2020-08-27 21:38:26,-21.64,-41.05,73.4,78,75,9.17
143,Narsaq,GL,2020-08-27 21:38:26,60.92,-46.05,47.91,68,100,5.48
144,Alofi,NU,2020-08-27 21:38:26,-19.06,-169.92,78.8,57,75,13.87
145,Mnogovershinnyy,RU,2020-08-27 21:38:26,53.94,139.92,48.65,100,100,2.01
146,Whitehorse,CA,2020-08-27 21:34:12,60.72,-135.05,55.99,54,90,11.41
147,Fortuna,US,2020-08-27 21:38:26,40.6,-124.16,64.4,77,1,10.29
148,Vaitape,PF,2020-08-27 21:38:26,-16.52,-151.75,78.31,78,3,16.06
149,Airai,TL,2020-08-27 21:38:26,-8.93,125.41,57.49,67,3,5.03
150,Codrington,AU,2020-08-27 21:38:26,-38.27,141.97,43.7,87,0,8.25
151,Inhambane,MZ,2020-08-27 21:38:26,-23.86,35.38,69.62,82,63,8.25
152,Meulaboh,ID,2020-08-27 21:38:26,4.14,96.13,75.96,89,100,4.07
153,Pevek,RU,2020-08-27 21:38:26,69.7,170.31,39.43,88,5,3.4
154,Dakar,SN,2020-08-27 21:37:30,14.69,-17.44,80.6,88,40,1.86
155,Miri,MY,2020-08-27 21:38:26,4.41,114.01,77.0,94,20,6.93
156,Susangerd,IR,2020-08-27 21:38:27,31.56,48.18,96.8,12,0,6.93
157,Yellowknife,CA,2020-08-27 21:38:27,62.46,-114.35,61.0,82,75,9.17
158,Konstantinovskiy,RU,2020-08-27 21:38:27,57.83,39.59,59.0,87,40,4.47
159,Lebu,CL,2020-08-27 21:38:27,-37.62,-73.65,50.2,87,100,10.85
160,Beringovskiy,RU,2020-08-27 21:38:27,63.05,179.32,52.38,79,80,7.05
